,vocab,pos,def
369,mop,動詞,用拖把拖地
370,more,"限定詞, 副詞",更多、較多
371,morning,名詞,早上
372,mother,名詞,媽媽 (= mom; mommy)
373,motorcycle,名詞,摩托車
374,mountain,名詞,山
375,mouse,名詞,老鼠
376,mouth,名詞,嘴巴
377,movie,名詞,電影
378,movie theater,名詞,電影院
379,Mr.,,先生
380,Mrs.,,太太
381,MRT,名詞,捷運
382,much,"限定詞,副詞",許多(例如much water)
383,museum,名詞,博物館
384,music,名詞,音樂
385,my,限定詞,我的
386,name,名詞,名字
387,near,介系詞,靠近、接近
388,need,動詞,需要
389,never,副詞,不曾
390,new,形容詞,新的
391,next to,介系詞,在...旁邊
392,nice,形容詞,令人愉快的、宜人的
393,night,名詞,晚上
394,nine,數字,九
395,nineteen,數字,十九
396,ninety,數字,九十
397,no,副詞,不
398,noodles,名詞,麵
399,nose,名詞,鼻子
400,not,副詞,不、沒有
401,nothing,代名詞,什麼都沒有
402,November,名詞,十一月
403,now,副詞,現在
404,number,名詞,數字
405,nurse,名詞,護士
406,o'clock,副詞,...點鐘
407,October,名詞,十月
408,of,介系詞,...的
409,off,介系詞,離開、從...去掉
410,office,名詞,辦公室
411,OK,形容詞,好的
412,OK,副詞,沒事
413,old,形容詞,1. 年紀、年齡；2. 老的
414,on,介系詞,在...上面；在(某一天)
415,one,數字,一
416,only,形容詞,僅有的
417,only,副詞,唯一地
418,open,動詞,開
419,orange,形容詞,橘色的
420,orange,名詞,橘子
421,other,"形容詞, 代名詞, 限定詞",其他的
422,our,限定詞,我們的
423,out,介系詞,向外地
424,outside,介系詞,在...外面、向...外面
425,over,介系詞,在...上方
426,paint,動詞,用顏料畫、刷油漆
427,pair,名詞,一雙、一對
428,panda,名詞,大貓熊
429,pants,名詞,長褲
430,paper,名詞,紙張
431,parent,名詞,父母親
432,park,名詞,公園
433,party,名詞,派對
434,PE,名詞,體育（課）
435,peach,名詞,桃子
436,pen,名詞,筆、鋼筆
437,pencil,名詞,鉛筆
438,people,名詞,人 (複數)
439,person,名詞,人
440,pet,名詞,寵物
441,photo,名詞,照片
442,piano,名詞,鋼琴
443,pick up,動詞,撿起、接（人）、接（電話）
444,picture,名詞,圖片、照片
445,pie,名詞,派
446,pig,名詞,豬
447,pink,形容詞,粉紅色的
448,pizza,名詞,披薩
449,plane,名詞,飛機 (= airplane)
450,play,動詞,玩
451,please,感嘆詞,請
452,pocket,名詞,口袋
453,police officer,名詞,警察
454,police station,名詞,警察局
455,pork,名詞,豬肉
456,post office,名詞,郵局
457,pretty,形容詞,漂亮的
458,pumpkin,名詞,南瓜
459,purple,形容詞,紫色的
460,put,動詞,放
461,question,名詞,問題
462,quiet,形容詞,安靜的
463,rabbit,名詞,兔子
464,rain,名詞,雨水
465,rain,動詞,下雨
466,rainbow,名詞,彩虹
467,rainy,形容詞,下雨的/多雨的
468,read,動詞,閱讀
469,ready,形容詞,準備好的
470,really,副詞,真正地
471,red,形容詞,紅色的
472,refrigerator,名詞,電冰箱 (= fridge)
473,restaurant,名詞,餐廳
474,restroom,名詞,洗手間、廁所
475,rice,名詞,米飯
476,ride,動詞,騎（機車、腳踏車等）
477,right,形容詞,對的
478,right,"形容詞, 副詞",右邊
479,river,名詞,河流
480,robot,名詞,機器人
481,ruler,名詞,尺
482,run,動詞,跑、跑步
483,sad,形容詞,傷心的、難過的
484,salad,名詞,沙拉
485,sale,名詞,拍賣、特價
486,sandwich,名詞,三明治
487,Saturday,名詞,星期六
488,say,動詞,說
489,school,名詞,學校
490,science,名詞,科學
491,scooter,名詞,輕型機車
492,sea,名詞,大海
493,season,名詞,季節
494,second,數字,第二
495,see,動詞,看見
496,September,名詞,九月
497,seven,數字,七
498,seventeen,數字,十七
499,seventy,數字,七十
500,she,代名詞,她
501,sheep,名詞,綿羊
502,shelf,名詞,架子
503,ship,名詞,（大）船
504,shirt,名詞,襯衫
505,shoes,名詞,鞋子
506,shop,名詞,商店 (UK; 英式英語)
507,short,形容詞,矮的
508,short,形容詞,短的
509,shorts,名詞,短褲
510,show,動詞,給...看、展示
511,shower,名詞,淋浴
512,sick,形容詞,生病的
513,sing,動詞,唱歌
514,singer,名詞,歌手
515,sister,名詞,姐姐、妹妹
516,sit,動詞,坐下
517,six,數字,六
518,sixteen,數字,十六
519,sixty,數字,六十
520,skirt,名詞,裙子
521,sky,名詞,天空
522,sleep,動詞,睡覺
523,slow,形容詞,慢的
524,small,形容詞,小的
525,smart,形容詞,聰明的
526,smell,動詞,聞起來
527,snake,名詞,蛇
528,snow,名詞,雪
529,snow,動詞,下雪
530,so,副詞,所以
531,soccer,名詞,足球 (US; 美式英語)
532,socks,名詞,襪子
533,sofa,名詞,沙發
534,soldier,名詞,軍人
535,some,限定詞,一些
536,sometimes,副詞,有時候
537,son,名詞,兒子
538,song,名詞,歌曲
539,sorry,形容詞,感到抱歉的、對不起
540,soup,名詞,湯
541,speak,動詞,說
542,spell,動詞,拼寫、用字母拼
543,spider,名詞,蜘蛛
544,spoon,名詞,湯匙
545,sport,名詞,運動
546,spring,名詞,春天
547,stand,動詞,站、站立
548,star,名詞,星星
549,start,動詞,開始
550,station,名詞,車站
551,still,副詞,仍然
552,stop,動詞,停下來
553,store,名詞,商店 (US; 美式英語)
554,story,名詞,故事
555,strawberry,名詞,草莓
556,street,名詞,街道
557,strong,形容詞,強壯的
558,student,名詞,學生
559,study,動詞,學習
560,summer,名詞,夏天
561,sun,名詞,太陽
562,Sunday,名詞,星期日
563,sunny,形容詞,晴朗的、出太陽的
564,supermarket,名詞,超級市場
565,sure,形容詞,確定的
566,sure,副詞,當然
567,sweater,名詞,毛衣
568,sweep,動詞,掃
569,sweet,形容詞,甜的
570,swim,動詞,游泳
571,table,名詞,桌子
572,take,動詞,攜帶、拿取
573,talk,動詞,說話、談話
574,tall,形容詞,高的
575,taste,動詞,嚐起來
576,taxi,名詞,計程車
577,tea,名詞,茶
578,teacher,名詞,老師
579,teeth,名詞,牙齒 (複數)
580,telephone,名詞,電話
581,television,名詞,電視 (= TV)
582,tell,動詞,告訴、告知
583,ten,數字,十
584,test,名詞,考試
585,than,介系詞,比
586,thank,動詞,感謝（某人）
587,that,限定詞,那個
588,the,冠詞,這
589,their,限定詞,他們的
590,them,代名詞,他們(受詞)
591,then,副詞,然後、接著
592,there,副詞,那裡
593,these,限定詞,這些
594,they,代名詞,他們
595,thin,形容詞,瘦的
596,thing,名詞,東西、物
