,phrase,chinese
261,and so on,諸如此類，等等
262,or so,大約
263,sleep in,晚起，睡懶覺
264,sow the seeds of something,播下 …的種子，成為 …的肇端
265,spare one’s feelings,不使某人難過，顧及某人的感受
266,spice up something,為某物增添趣味
267,in spite of something,儘管 …
268,on the spot,當下，立刻
269,stay up,熬夜，不睡覺
270,steep oneself in something,沉浸於 …
271,stem from something,起源於某事物，由某事物引起
272,stick to something,維持 …，堅持 …
273,stir up something,挑起 …，煽動 …
274,stop by ( . . . ),順路拜訪  (…)
275,strike a balance (between . . . and . . . ),求得平衡，折衷
276,for sure  (infml.),肯定，一定
277,be supposed to  ,(依規定、安排等 )應當，該；一般認為
278,swarm with . . .,擠滿 …，到處是 …
279,sweep away something,徹底消除 …，消滅 …
280,take on something,接受  (工作 )，承擔  (責任 )
281,take flight,逃走
282,take root  ,(思想 ) 深入人心； (植物 ) 生根
283,take its toll (on . . . )  ,(對…)產生不良影響 、造成重大 損失
284,the talk of something  ,(某地 )人人談論的話題
285,tear apart something,拆散某物，使某物分崩離析
286,in the long  term,從長期來看
287,"the long term, i t may lead to eating disorders . thanks to . . .",幸虧 …，由於 …
288,that is (to say),意即，也就是說
289,think of . . .,為…著想、設想；想到 …，構思出 …
290,think  of . . . as . . .,把…看作 …，將 …視為 …
291,think twice (about doing sth.),三思而行，仔細考慮 (…)
292,have second thoughts  ,(經過考慮後 )改變主意，改變想法
293,food for thought,引人深思的事物
294,be tickled pink,非常開心、高興
295,(someone) be tied up  ,(某人 )非常忙碌、無法分身
296,in time,及時，來得及
297,at a time,每次，一次
298,at times : from time to time,有時候，偶爾
299,all the time,一直，始終；經常
300,from time to time,偶爾，有時
301,on occasion,偶爾，不時
302,(every) once in a while,偶爾，有時候
303,(every)  now and then,偶爾
304,time after time,一再地，再三地
305,kill time,打發時間，消磨時光
306,in the course of time  = eventually,總有一天，最終
307,together with . . .,連同 …，和 …一起
308,lose touch (with . . . )  ,(與…)失去聯繫
309,on the right  track,依循正確的方式
310,track down . . .  ,(經長時間 )追蹤到 …
311,true to life,逼真，寫實的
312,tuck someone in,替某人蓋被子
313,turn off something,關掉 (電源、水等 )
314,turn to . . .,求助於 …
315,turn into . . .,變成…
316,turn out,發展為，結果是
317,turn  down  . . .,拒絕 …，回絕 …
318,turn up ,(出其不意地 )出現
319,up to something  ,(數量、程度等 )至多可達 …
320,be (of) no use,沒有用，無用
321,make use of . . .,利用 …，使用 …
322,what’s the use (of doing something)  ,(做某事 )沒有意義、用處
323,put (something) to (good) use,有效利用 (某物 )
324,as usual,一如往常地
325,with a view to (doing) something,為了 …，以 …為目的
326,point of view,觀點
327,can’t wait,迫不及待
328,wait for their winter vacation to  begin.  warm  up,變暖，暖和起來
329,warn someone off (something),告誡某人不要 …
330,by the way  (infml.),順帶一提
331,in no way,一點也不
332,on the way ,(嬰兒 )尚未出生；即將到來，就要發生
333,in some ways,某種程度上
334,have a way of doing something  …,是常有的事，有 …的習慣
335,go a long way toward doing something,對做某事有幫助
336,wear away (something),磨損 (…)as well (as . . . )  
337,would do well to do something,建議 (做…)，應該 …比較好
338,"what if . . .  = what would happen, if…",要是 …會怎麼樣
339,on the whole,大體上來說，大致而言
340,wipe up (something),擦拭 (…)，抹掉 (…)
341,no wonder =  it is no wonder that,難怪
342,in other  words,換句話說
343,be lost for words  ,(因驚訝、難過等 ) 說不出話，無言
344,work out,成功地發展
345,work on something,致力於某事
346,be worried sick,極度擔心
